event_id,event_type,vc_hash,holder_did,verifier_id,timestamp,optional,label,threat_type,campaign_id,optional_json
balanced_3964_996a435a-6543-4c7c-8868-cf056c11dd50,PRESENTATION,blake3:634dc831d64e051323100f8213b3c336756347c60a47baa96891653ef7bea0988b301200f9180e9ccf4e108b6991fa498bd32c514d1758b2d00b370a6f049d20,did:web:holder0749.identity.com,svc:bank-app-001,2025-01-02T02:51:36Z,"{'issuer_did': 'did:web:university.edu', 'anchor_status': 'active', 'device_id': 'tok:dev-44fbd5e9', 'geo_token': 'tok:geo-us-ny'}",benign,benign,,"{""issuer_did"": ""did:web:university.edu"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-44fbd5e9"", ""geo_token"": ""tok:geo-us-ny""}"
balanced_291_c211f813-8ca2-4b53-b8ce-e636f63998b8,ISSUANCE,blake3:c9f0c492d75e43cc0a5c4e06ec462f4b1ef08d84f279c5bc2845d9c18afa9f9164f697c874dd4a364b2198ee371e8a3e6d03c8f4ce8be78c9134680ae8b1b74f,did:web:holder0609.identity.com,svc:bank-app-001,2024-12-31T18:04:06Z,"{'issuer_did': 'did:web:fake-issuer.com', 'anchor_status': 'active', 'device_id': 'tok:dev-b8c5038e', 'geo_token': 'tok:geo-us-ny'}",benign,benign,,"{""issuer_did"": ""did:web:fake-issuer.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-b8c5038e"", ""geo_token"": ""tok:geo-us-ny""}"
balanced_3975_08b72e75-071f-4fd2-8a4f-49696714e44e,PRESENTATION,blake3:13e01bd0dceac6e3a9b0c279ba49f38109daffdc9a619fbc35eb08b6bbd83a9aa4112cb174d46094fce85f2ebd6f98768a88bf207c527ab914df0a838035de56,did:web:holder0084.identity.com,svc:enterprise-hr,2024-12-30T23:40:12Z,"{'issuer_did': 'did:web:issuer3.untrusted.com', 'anchor_status': 'active', 'device_id': 'tok:dev-cee04b56', 'geo_token': 'tok:geo-jp-tokyo'}",benign,benign,,"{""issuer_did"": ""did:web:issuer3.untrusted.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-cee04b56"", ""geo_token"": ""tok:geo-jp-tokyo""}"
balanced_7671_5cefce9f-c5c2-4bac-b532-7f675c95d6c1,REVOCATION,blake3:8dabe423b4980bd0bf1227dd87c0857ee33bec5cad8a380b5c2f180f486996b7d26b0c34834703fa0258056d0b0e4016972a116b42eab90155ececd5fadcd116,did:web:holder0243.identity.com,svc:insurance-portal,2025-02-13T16:32:27Z,"{'issuer_did': 'did:web:issuer1.trusted.com', 'anchor_status': 'revoked', 'device_id': 'tok:dev-d9886e8d', 'geo_token': 'tok:geo-kr-seoul'}",benign,benign,,"{""issuer_did"": ""did:web:issuer1.trusted.com"", ""anchor_status"": ""revoked"", ""device_id"": ""tok:dev-d9886e8d"", ""geo_token"": ""tok:geo-kr-seoul""}"
balanced_1372_89a3e8a2-d5ae-4fbb-ae75-f163bc9302af,ISSUANCE,blake3:43edb8c320b0c88e91f3e59c444c2de091168914514e8271febbb5afa768c220a13d00a770f41d2b8d16074b0d97af8186a99e56eb956850c7e4cd0f0600a663,did:web:holder0955.identity.com,svc:travel-booking,2024-12-22T08:01:39Z,"{'issuer_did': 'did:web:university.edu', 'anchor_status': 'active', 'device_id': 'tok:dev-50adafe8', 'geo_token': 'tok:geo-kr-seoul'}",benign,benign,,"{""issuer_did"": ""did:web:university.edu"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-50adafe8"", ""geo_token"": ""tok:geo-kr-seoul""}"
balanced_1662_9aad02d5-d1d6-4023-8bf3-3632a79a9656,ISSUANCE,blake3:45fc751ba45318f8a7d7ac21840220536edba49a5585eb725ba450a2ef802474560a4c12a99da36e619997b94432888cd87646a756fe6ba73aa2834363162966,did:web:holder0846.identity.com,svc:fintech-app,2025-01-30T07:15:58Z,"{'issuer_did': 'did:web:fake-issuer.com', 'anchor_status': 'active', 'device_id': 'tok:dev-e933bfb0', 'geo_token': 'tok:geo-kr-seoul'}",benign,benign,,"{""issuer_did"": ""did:web:fake-issuer.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-e933bfb0"", ""geo_token"": ""tok:geo-kr-seoul""}"
balanced_18947_f3a783fc-f8f3-464e-8e33-f199c7312631,PRESENTATION,blake3:42c7c5321f1d3e7a3ff0563d344f4bc7d4530158a7e7ec00e77bedcf7d36da75ffc733bc9f45ac6e33bfb5d47d00cff4c354425b7db3d0c4653b984c79ec4b09,did:web:holder0897.identity.com,svc:travel-booking,2025-01-31T16:39:41Z,"{'issuer_did': 'did:web:hospital.org', 'anchor_status': 'active', 'device_id': 'tok:dev-146303ab', 'geo_token': 'tok:geo-de-berlin'}",benign,benign,,"{""issuer_did"": ""did:web:hospital.org"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-146303ab"", ""geo_token"": ""tok:geo-de-berlin""}"
balanced_16956_5576b91a-cd1f-43e9-9898-9c2b4d110d12,ISSUANCE,blake3:59c29a755a4b1037fc816d13ced60f211f8a0ab141668a5093bc674fb5712d10636679161e8d0851735942f9ecfe4a30b8e26b6a1ba443a3c74bac220d607ed9,did:web:holder0774.identity.com,svc:fintech-app,2024-12-18T05:53:22Z,"{'issuer_did': 'did:web:bank.com', 'anchor_status': 'active', 'device_id': 'tok:dev-a6b3ec48', 'geo_token': 'tok:geo-jp-tokyo'}",benign,benign,,"{""issuer_did"": ""did:web:bank.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-a6b3ec48"", ""geo_token"": ""tok:geo-jp-tokyo""}"
balanced_17704_7c587e94-4c5d-4aba-bf6a-b4eaddbb412e,VERIFICATION,blake3:14be3483ad29eab870cb4a808330695f7740606ff880688fba8a193082cbd30ae6222944c1b91b274c7b5a4402d3849cf02346f5a0800af5f298864ddd5553aa,did:web:holder0443.identity.com,svc:university-portal,2025-02-13T17:07:27Z,"{'issuer_did': 'did:web:fake-issuer.com', 'anchor_status': 'active', 'device_id': 'tok:dev-023092dd', 'geo_token': 'tok:geo-us-ny'}",benign,benign,,"{""issuer_did"": ""did:web:fake-issuer.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-023092dd"", ""geo_token"": ""tok:geo-us-ny""}"
balanced_18185_f6e86592-8823-4a2d-92fe-f9e372b88385,ISSUANCE,blake3:513dadea85c9f2434c48494e7d0f48990c6db1b6fbc49c161bc270f396ef60f18b7165be8919a2fc1331c98f4abc065600f0dc0a57be17595c761aa5fbce1d01,did:web:holder0783.identity.com,svc:hospital-system,2025-02-11T08:55:22Z,"{'issuer_did': 'did:web:issuer3.untrusted.com', 'anchor_status': 'active', 'device_id': 'tok:dev-8dee6dc7', 'geo_token': 'tok:geo-kr-seoul'}",benign,benign,,"{""issuer_did"": ""did:web:issuer3.untrusted.com"", ""anchor_status"": ""active"", ""device_id"": ""tok:dev-8dee6dc7"", ""geo_token"": ""tok:geo-kr-seoul""}"
